#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
1,0.11855,0.06135,4.9346,82.877,108
2,0.10185,-0.0379,3.5476,15.51,112
3,0.0677,-0.0008,11.289,-39.589,1663
4,0.0142,-0.0771,4.2204,18.628,78
5,0.0146,0.03785,6.166,84.574,167
6,0.00635,0.00545,3.6469,66.166,71
7,-0.0048,0.0121,6.337,85.081,163
8,-0.0232,0.04485,3.7411,-79.516,76
9,-0.03145,-0.0274,5.5401,-44.995,87
10,-0.0569,-0.0396,3.6351,-22.678,78
11,-0.0782,-0.0597,4.2172,-52.986,83
12,-0.096,-0.04565,5.1194,15.051,156
13,-0.1064,-0.04745,6.8563,-6.9143,448
14,0.11735,0.16685,6.2855,-86.892,177
15,0.10155,0.1366,3.7058,-17.556,96
16,0.0961,0.1987,4.4415,-57.454,111
17,0.0952,0.17395,3.2427,6.3973,97
18,0.0909,0.20775,5.2458,-12.983,191
19,0.0642,0.10345,12.78,83.943,1806
20,0.05725,0.1148,3.9111,-54.753,90
21,0.04695,0.2337,7.444,-78.071,599
22,0.037,0.16105,5.1359,51.312,261
23,-0.003,0.2282,7.618,85.594,511
24,-0.013,0.178,5.5077,-64.213,130
25,-0.02245,0.1708,6.2692,-62.107,270
26,-0.07085,0.1842,10.278,-89.382,886
27,-0.10505,0.16445,7.5018,-0.90458,489
28,-0.13,0.11795,3.6857,1.7632,76
29,-0.14205,0.19535,5.4096,-16.153,206
30,-0.1611,0.2245,5.9518,78.103,398
31,-0.16765,0.2031,5.294,-31.563,91
32,-0.1767,0.2009,4.9207,83.204,115
33,-0.18095,0.18575,4.9313,-43.547,150
34,-0.2283,0.0932,14.308,10.263,2227
35,-0.2509,0.12315,6.4147,13.275,392
36,-0.25545,0.2383,3.1582,-79.255,77
37,-0.29475,0.11865,5.4995,1.9982,231
38,-0.29885,0.204,6.4244,-39.047,105
39,-0.3225,0.12045,5.2011,-37.705,85
40,-0.34355,0.12525,8.305,-81.386,687
41,-0.125,-0.0546,4.5887,-13.801,77
42,-0.15605,0.07555,5.7144,-80.416,186
43,-0.16665,-0.04685,5.52,-7.4477,104
44,-0.1707,-0.0356,5.395,-13.557,115
45,-0.17735,0.02415,4.0732,81.197,90
46,-0.1855,0.07495,6.209,-24.271,429
47,-0.1912,-0.0458,4.4576,8.8667,128
48,-0.20005,-0.0032,5.082,-64.578,130
49,-0.2112,0.03755,6.8854,79.722,410
50,-0.22285,-0.00425,7.3274,83.864,517
51,-0.23155,0.03885,5.9791,80.059,243
52,-0.2385,-0.0016,6.0575,82.438,241
53,-0.2511,-0.00085,10.077,86.092,829
54,-0.2725,0.04355,6.7687,-61.298,225
55,-0.2913,-0.0705,6.178,3.5246,233
56,-0.3003,-0.05805,6.1379,-18.352,336
57,-0.30715,-0.003,8.7592,-89.73,639
58,-0.31755,0.06505,7.3071,-32.178,230
59,-0.32025,0.0677,5.5191,-51.966,96
60,-0.15205,-0.23745,9.8447,-5.2141,1137
61,-0.1486,-0.15715,6.0129,-11.245,357
62,-0.1909,-0.174,5.3024,77.191,295
63,-0.2009,-0.15505,4.7157,-87.235,210
64,-0.19995,-0.09255,5.2277,-69.273,147
65,-0.2042,-0.15075,7.2925,-7.7028,152
66,-0.23035,-0.1715,4.7697,-55.243,144
67,-0.2333,-0.17975,5.7704,47.599,290
68,-0.2373,-0.11625,5.5695,-71.563,123
69,-0.2424,-0.1815,7.271,-63.912,322
70,-0.24015,-0.11055,5.4166,-64.643,113
71,-0.2641,-0.13735,12.54,76.627,1758
72,-0.2889,-0.1647,5.9537,5.1857,296
73,-0.3437,-0.19955,9.8315,-64.485,1083
74,-0.35575,-0.1702,7.7537,5.2918,526
